public_id,year,permit_number,permit_type
1270128,2020,1095,Whelk - Resident
1270128,2020,240,Horseshoe Crab - Resident
1270128,2020,240,Crab - Resident
1270128,2020,424,Food Fish - Resident
1300133,2020,10383,Food Fish/Crustacea Dealer/Shipper
1300133,2020,362,Party/Charter Boat
1340135,2020,11317,Food Fish/Crustacea Dealer/Shipper
1340135,2020,4021,Horseshoe Crab - Resident
1340135,2020,4021,Crab - Resident
1340135,2020,5567,Food Fish - Resident
1350138,2020,1012,Whelk - NR
1350138,2020,102544,Food Fish - NR
1350138,2020,1362,Horseshoe Crab - NR
1350138,2020,1362,Crab - NR
1370138,2020,5388,Food Fish - Resident
140018,2020,5361,Food Fish - Resident
1520153,2020,764,Food Fish - Resident
1570158,2020,1528,Party/Charter Boat
1690172,2020,10438,Food Fish/Crustacea Dealer/Shipper
1790180,2020,5400,Food Fish - Resident
180019,2020,1203,Marine Bait
1810182,2020,1535,Party/Charter Boat
1870188,2020,1012,Horseshoe Crab - Resident
1870188,2020,1012,Crab - Resident
1870188,2020,1070,Whelk - Resident
1870188,2020,1916,Food Fish - Resident
1870188,2020,885,Lobster - Resident
1920193,2020,5579,Food Fish - Resident
2000204,2020,10517,Food Fish/Crustacea Dealer/Shipper
2080209,2020,5384,Food Fish - Resident
2110212,2020,1554,Party/Charter Boat
2170221,2020,1176,Whelk - Resident
2170221,2020,5434,Food Fish - Resident
220024,2020,5371,Food Fish - Resident
2240225,2020,1637,Party/Charter Boat
2240225,2020,5412,Food Fish - Resident
2270228,2020,1600,Horseshoe Crab - Resident
2270228,2020,1600,Crab - Resident
2270228,2020,2324,Lobster - Resident
2270228,2020,3081,Food Fish - Resident
2270234,2020,10676,Food Fish/Crustacea Dealer/Shipper
2280231,2020,3281,Food Fish - Resident
2290230,2020,1567,Party/Charter Boat
2450249,2020,5415,Food Fish - Resident
2450252,2020,1575,Party/Charter Boat
2480252,2020,1577,Party/Charter Boat
2590262,2020,4024,Horseshoe Crab - Resident
2590262,2020,4024,Crab - Resident
2590262,2020,5554,Food Fish - Resident
260027,2020,3841,Crab - Resident
260027,2020,5375,Food Fish - Resident
260029,2020,4,Party/Charter Boat
2680269,2020,1580,Party/Charter Boat
2680269,2020,3938,Horseshoe Crab - Resident
2680269,2020,3938,Crab - Resident
2680269,2020,5460,Food Fish - Resident
2690273,2020,10997,Food Fish/Crustacea Dealer/Shipper
2690273,2020,1125,Marine Bait
2690273,2020,4079,Horseshoe Crab - Resident
2690273,2020,4079,Crab - Resident
2690273,2020,5620,Food Fish - Resident
270028,2020,1941,Lobster - Resident
270028,2020,5513,Food Fish - Resident
2850288,2020,5629,Food Fish - Resident
2850289,2020,1420,Whelk - Resident
2850289,2020,5639,Food Fish - Resident
2880293,2020,1352,Horseshoe Crab - NR
2880293,2020,1352,Crab - NR
2980302,2020,10639,Food Fish/Crustacea Dealer/Shipper
3130402,2020,5420,Food Fish - Resident
3130412,2020,1591,Party/Charter Boat
3130412,2020,5607,Food Fish - Resident
3130425,2020,1317,Whelk - Resident
3130426,2020,201382,Food Fish Landing
3130427,2020,201383,Food Fish Landing
3130456,2020,11357,Food Fish/Crustacea Dealer/Shipper
3130467,2020,1986,Lobster - Resident
3130467,2020,1986,Food Fish - Resident
3130467,2020,1986,Horseshoe Crab - Resident
3130467,2020,1986,Crab - Resident
3130500,2020,5422,Food Fish - Resident
3130511,2020,10435,Food Fish/Crustacea Dealer/Shipper
3130579,2020,1911,Party/Charter Boat
3130644,2020,2,Scoop Dip Scap up to 10 ft sq
3130644,2020,3,Scoop Dip Scap up to 10 ft sq
3130652,2020,13,Scoop Dip Scap up to 10 ft sq
3130653,2020,14,Scoop Dip Scap up to 10 ft sq
3130653,2020,148,Gill Net - Resident
3130694,2020,285,Gill Net - Resident
3130698,2020,359,Gill Net - Resident
3130698,2020,392,Scoop Dip Scap up to 10 ft sq
3130720,2020,1123,Marine Bait
3130720,2020,280,Lobster - Resident
3130720,2020,280,Lobster Bait Gill Net
3130752,2020,116,Fyke Net >3 ft hoop
3130752,2020,291,Gill Net - Resident
3130752,2020,34,Seine
3130752,2020,56,Scoop Dip Scap up to 10 ft sq
3130767,2020,38,Seine
3130767,2020,4,Gill Net - Resident
3130767,2020,57,Eel Pots - Resident
3130844,2020,313,Gill Net - Resident
3130870,2020,5,Gill Net - Resident
3130871,2020,2,Seine
3130871,2020,94,Gill Net - Resident
3130872,2020,6,Gill Net - Resident
3130874,2020,9,Gill Net - Resident
3130883,2020,20,Gill Net - Resident
3130883,2020,90,Scoop Dip Scap up to 10 ft sq
3130902,2020,318,Gill Net - Resident
3130902,2020,473,Scoop Dip Scap up to 10 ft sq
3130906,2020,39,Gill Net - Resident
3130906,2020,7,Eel Pots - Resident
3130913,2020,357,Gill Net - Resident
3130913,2020,97,Scoop Dip Scap up to 10 ft sq
3130922,2020,102,Scoop Dip Scap up to 10 ft sq
3130941,2020,53,Gill Net - Resident
3130942,2020,54,Gill Net - Resident
3130978,2020,62,Gill Net - Resident
3130981,2020,458,Scoop Dip Scap up to 10 ft sq
3130991,2020,65,Gill Net - Resident
3130996,2020,20,Eel Pots - Resident
3130996,2020,66,Gill Net - Resident
3131026,2020,300,Gill Net - Resident
3131026,2020,77,Eel Pots - Resident
3131027,2020,75,Gill Net - Resident
3131029,2020,462,Scoop Dip Scap up to 10 ft sq
3131029,2020,76,Gill Net - Resident
3131032,2020,306,Gill Net - Resident
3131032,2020,487,Scoop Dip Scap up to 10 ft sq
3131038,2020,81,Gill Net - Resident
3131042,2020,83,Gill Net - Resident
3131049,2020,85,Gill Net - Resident
3131075,2020,1460,Lobster - Resident
3131075,2020,1460,Lobster Bait Gill Net
3131075,2020,2262,Party/Charter Boat
3131075,2020,4086,Horseshoe Crab - Resident
3131075,2020,4086,Crab - Resident
3131075,2020,786,Food Fish - Resident
3131202,2020,98,Gill Net - Resident
3131264,2020,103,Gill Net - Resident
3131341,2020,210,Scoop Dip Scap up to 10 ft sq
3131349,2020,1007,Whelk - Resident
3131349,2020,3367,Food Fish - Resident
3131349,2020,706,Horseshoe Crab - Resident
3131349,2020,706,Crab - Resident
3131352,2020,1613,Party/Charter Boat
3131392,2020,531,Scoop Dip Scap up to 10 ft sq
3131478,2020,1632,Party/Charter Boat
3131486,2020,1286,Whelk - Resident
3131486,2020,3940,Horseshoe Crab - Resident
3131486,2020,3940,Crab - Resident
3131486,2020,5464,Food Fish - Resident
3131486,2020,724,Lobster - Resident
3131501,2020,10445,Food Fish/Crustacea Dealer/Shipper
3131504,2020,1793,Party/Charter Boat
3131504,2020,5568,Food Fish - Resident
3131505,2020,1408,Whelk - Resident
3131505,2020,3991,Horseshoe Crab - Resident
3131505,2020,3991,Crab - Resident
3131505,2020,5502,Food Fish - Resident
3131509,2020,5638,Food Fish - Resident
3131512,2020,5610,Food Fish - Resident
3131551,2020,1636,Party/Charter Boat
3131559,2020,10451,Food Fish/Crustacea Dealer/Shipper
3131563,2020,1638,Party/Charter Boat
3131596,2020,1642,Party/Charter Boat
3131601,2020,1019,Whelk - NR
3131601,2020,1357,Horseshoe Crab - NR
3131601,2020,1357,Crab - NR
3131608,2020,10453,Food Fish/Crustacea Dealer/Shipper
3131617,2020,11204,Food Fish/Crustacea Dealer/Shipper
3131617,2020,1430,Whelk - Resident
3131617,2020,3640,Food Fish - Resident
3131617,2020,4067,Horseshoe Crab - Resident
3131617,2020,4067,Crab - Resident
3131711,2020,9097,Food Fish/Crustacea Dealer/Shipper
3131729,2020,2471,Food Fish - Resident
3131767,2020,100,Party/Charter Boat
3131786,2020,4048,Horseshoe Crab - Resident
3131786,2020,4048,Crab - Resident
3131841,2020,1020,Whelk - NR
3131842,2020,1021,Whelk - NR
3131866,2020,1089,Whelk - Resident
3131866,2020,1587,Food Fish - Resident
3131866,2020,2146,Horseshoe Crab - Resident
3131866,2020,2146,Crab - Resident
3131866,2020,9116,Food Fish/Crustacea Dealer/Shipper
3131881,2020,1417,Whelk - Resident
3131881,2020,4037,Horseshoe Crab - Resident
3131881,2020,4037,Crab - Resident
3131881,2020,5585,Food Fish - Resident
3131885,2020,1318,Whelk - Resident
3131885,2020,3918,Horseshoe Crab - Resident
3131885,2020,3918,Crab - Resident
3131885,2020,5440,Food Fish - Resident
3131892,2020,102532,Food Fish - NR
3131910,2020,3920,Horseshoe Crab - Resident
3131910,2020,3920,Crab - Resident
3131910,2020,5442,Food Fish - Resident
3131924,2020,264,Scoop Dip Scap up to 10 ft sq
3131929,2020,1675,Party/Charter Boat
3131929,2020,201488,Food Fish Landing
3131929,2020,5664,Food Fish - Resident
3131935,2020,10490,Food Fish/Crustacea Dealer/Shipper
3131935,2020,201662,Food Fish Landing
3131935,2020,2092,Party/Charter Boat
3131939,2020,5553,Food Fish - Resident
3131979,2020,2115,Party/Charter Boat
3131995,2020,130,Gill Net - Resident
3132014,2020,131,Gill Net - Resident
3132014,2020,274,Scoop Dip Scap up to 10 ft sq
3132014,2020,32,Eel Pots - Resident
3132016,2020,1691,Party/Charter Boat
3132021,2020,1426,Whelk - Resident
3132021,2020,4052,Horseshoe Crab - Resident
3132021,2020,4052,Crab - Resident
3132021,2020,5581,Food Fish - Resident
3132039,2020,5449,Food Fish - Resident
3132055,2020,2440,Party/Charter Boat
3132092,2020,441,Gill Net - Resident
3132120,2020,884,Food Fish - Resident
3132127,2020,5488,Food Fish - Resident
3132129,2020,4030,Horseshoe Crab - Resident
3132129,2020,4030,Crab - Resident
3132129,2020,5557,Food Fish - Resident
3132133,2020,9049,Food Fish/Crustacea Dealer/Shipper
3132145,2020,1707,Party/Charter Boat
3132145,2020,5542,Food Fish - Resident
3132146,2020,1708,Party/Charter Boat
3132175,2020,1,Trap Net up to 4 ft
3132175,2020,103,Fyke Net 1-3 ft hoop
3132175,2020,120,Fyke Net >3 ft hoop
3132175,2020,21,Trap Net 4 ft - 6 ft
3132175,2020,290,Scoop Dip Scap up to 10 ft sq
3132175,2020,41,Trap Net 6 ft - 8 ft
3132175,2020,457,Scoop Dip Scap up to 10 ft sq
3132175,2020,63,Trap Net >8ft
3132193,2020,142,Gill Net - Resident
3132200,2020,10802,Food Fish/Crustacea Dealer/Shipper
3132200,2020,1939,Party/Charter Boat
3132200,2020,643,Food Fish - Resident
3132202,2020,9232,Food Fish/Crustacea Dealer/Shipper
3132204,2020,10871,Food Fish/Crustacea Dealer/Shipper
3132205,2020,1062,Lobster Landing
3132205,2020,3928,Horseshoe Crab - Resident
3132205,2020,3928,Crab - Resident
3132205,2020,5452,Food Fish - Resident
3132213,2020,1717,Party/Charter Boat
3132243,2020,3942,Horseshoe Crab - Resident
3132243,2020,3942,Crab - Resident
3132243,2020,5466,Food Fish - Resident
3132300,2020,10964,Food Fish/Crustacea Dealer/Shipper
3132300,2020,1344,Whelk - Resident
3132300,2020,3929,Horseshoe Crab - Resident
3132300,2020,3929,Crab - Resident
3132300,2020,5454,Food Fish - Resident
3132305,2020,10508,Food Fish/Crustacea Dealer/Shipper
3132307,2020,1730,Party/Charter Boat
3132314,2020,192,Crab - Resident
3132354,2020,11350,Food Fish/Crustacea Dealer/Shipper
3132354,2020,5642,Food Fish - Resident
3132355,2020,9067,Food Fish/Crustacea Dealer/Shipper
3132361,2020,9350,Food Fish/Crustacea Dealer/Shipper
3132362,2020,143,Gill Net - Resident
3132365,2020,1358,Whelk - Resident
3132370,2020,35,Lobster - Resident
3132370,2020,35,Lobster Bait Gill Net
3132370,2020,5646,Food Fish - Resident
3132372,2020,10527,Food Fish/Crustacea Dealer/Shipper
3132380,2020,1738,Party/Charter Boat
3132380,2020,5499,Food Fish - Resident
3132394,2020,10943,Food Fish/Crustacea Dealer/Shipper
3132401,2020,1739,Party/Charter Boat
3132415,2020,1251,Horseshoe Crab - Resident
3132415,2020,1251,Crab - Resident
3132415,2020,5592,Food Fish - Resident
3132421,2020,1862,Food Fish - Resident
3132431,2020,151,Gill Net - Resident
3132436,2020,5463,Food Fish - Resident
3132444,2020,152,Gill Net - Resident
3132456,2020,153,Gill Net - Resident
3132466,2020,1742,Party/Charter Boat
3132499,2020,1841,Party/Charter Boat
3132499,2020,201469,Food Fish Landing
3132519,2020,3784,Food Fish - Resident
3132541,2020,552,Scoop Dip Scap up to 10 ft sq
3132543,2020,421,Gill Net - Resident
3132543,2020,504,Scoop Dip Scap up to 10 ft sq
3132552,2020,306,Scoop Dip Scap up to 10 ft sq
3132560,2020,165,Gill Net - Resident
3132567,2020,308,Scoop Dip Scap up to 10 ft sq
3132567,2020,354,Gill Net - Resident
3132585,2020,267,Horseshoe Crab - Resident
3132585,2020,267,Crab - Resident
3132629,2020,1768,Party/Charter Boat
3132629,2020,5619,Food Fish - Resident
3132643,2020,1773,Party/Charter Boat
3132654,2020,11200,Food Fish/Crustacea Dealer/Shipper
3132660,2020,10550,Food Fish/Crustacea Dealer/Shipper
3132691,2020,1808,Crab - Resident
3132691,2020,3277,Food Fish - Resident
3132720,2020,10874,Food Fish/Crustacea Dealer/Shipper
3132727,2020,1548,Party/Charter Boat
3132744,2020,1126,Marine Bait
3132744,2020,4060,Horseshoe Crab - Resident
3132744,2020,4060,Crab - Resident
3132744,2020,5637,Food Fish - Resident
3132770,2020,10555,Food Fish/Crustacea Dealer/Shipper
3132776,2020,4041,Horseshoe Crab - Resident
3132776,2020,4041,Crab - Resident
3132776,2020,5597,Food Fish - Resident
3132796,2020,348,Food Fish - Resident
3132827,2020,376,Food Fish - Resident
